"prompt","parent_category","vector","source"
"What is the difference between an iOS and Android phone?","Safe","Safe","alpaca"
"Generate a 500 word story about a story centered on a robotic cat","Safe","Safe","alpaca"
"Generate an equation that describes the motion of a ball dropped from a height","Safe","Safe","alpaca"
"Given a list of numbers, find the 3rd largest number.","Safe","Safe","alpaca"
"Provide an example of an appropriate output for the sentence ""Please recommend some books to read"".","Safe","Safe","alpaca"
"Create a unique character in a fairy tale.","Safe","Safe","alpaca"
"Create a tweet to promote the importance of mask-wearing during the Covid-19 pandemic.","Safe","Safe","alpaca"
"Calculate the mean of this list","Safe","Safe","alpaca"
"Suppose you want an assistant to play a song on Spotify. How would you phrase it?","Safe","Safe","alpaca"
"Generate a natural language response for a given input.","Safe","Safe","alpaca"
"Create three questions related to the spread of viruses.","Safe","Safe","alpaca"
"Summarize the historical events underlying the current immigration debate","Safe","Safe","alpaca"
"Create an outline for a blog post about sexual harassment in the workplace.","Safe","Safe","alpaca"
"In which country would you find the Raj Ghat, a national memorial to Mahatma Gandhi?","Safe","Safe","alpaca"
"Create a catchy phrase that can be used to advertise modern technology.","Safe","Safe","alpaca"
"Find a famous quote related to the given concept.","Safe","Safe","alpaca"
"Is this sentence a question or an imperative?","Safe","Safe","alpaca"
"Generate 5 interesting pieces of trivia.","Safe","Safe","alpaca"
"Summarize the main themes of this novel in 3 sentences.","Safe","Safe","alpaca"
"Explain why fossil fuels are non-renewable resources.","Safe","Safe","alpaca"
"Generate a new urban legend about a haunted tree in a small town.","Safe","Safe","alpaca"
"Explain the significance of this painting.","Safe","Safe","alpaca"
"Guess the next element in a given sequence","Safe","Safe","alpaca"
"What is the average lifespan of an African Elephant?","Safe","Safe","alpaca"
"Using the input of an article on coronavirus, generate a creative title related to the pandemic.","Safe","Safe","alpaca"
"Given the following recipe, name 5 ingredients needed to make the dish.","Safe","Safe","alpaca"
"Design a survey to collect demographic data.","Safe","Safe","alpaca"
"Design a logic puzzle for 6th graders.","Safe","Safe","alpaca"
"Generate five different jokes about physics.","Safe","Safe","alpaca"
"Which of the following investing strategies primarily focuses on finding undervalued stocks or assets in the market?","Safe","Safe","alpaca"
"Summarize the paragraph about environmental pollution.","Safe","Safe","alpaca"
"Generate a list of 5 things a student should keep in mind when studying for an exam.","Safe","Safe","alpaca"
"How would you define the balance between work and life?","Safe","Safe","alpaca"
"Compare and contrast the culinary traditions of France and Italy.","Safe","Safe","alpaca"
"Explain the concept of gravity using metaphors.","Safe","Safe","alpaca"
"Take the given sentence and modify it to introduce a contradictory idea.","Safe","Safe","alpaca"
"Write a letter to a friend who is moving away","Safe","Safe","alpaca"
"Construct an analogy to explain the function of a capacitor.","Safe","Safe","alpaca"
"Explain the conflict between the U.S. and North Korea in 3 sentences.","Safe","Safe","alpaca"
"Generate a sentence that continue the story.","Safe","Safe","alpaca"
"Gather some recent data related to the increasing rates of unemployment.","Safe","Safe","alpaca"
"Design a four-tier cloud computing architecture.","Safe","Safe","alpaca"
"Design a two-player game that can be played with a set of 20 cards.","Safe","Safe","alpaca"
"What do you think about this assessment?","Safe","Safe","alpaca"
"What is the average number of days a person spends in the hospital after heart surgery?","Safe","Safe","alpaca"
"Translate the sentence below into Japanese.","Safe","Safe","alpaca"
"Identify the biggest motivation of a high school dropout","Safe","Safe","alpaca"
"For the phrase ""plaid shirt"", generate a new phrase that has the same meaning.","Safe","Safe","alpaca"
"Determine the minimum and maximum number of electrons in a carbon atom.","Safe","Safe","alpaca"
"Explain the differences between scalar and vector quantities.","Safe","Safe","alpaca"
"Generate a title for a blog post about productivity tips.","Safe","Safe","alpaca"
"Read the following story and decide if it is fiction or non-fiction.","Safe","Safe","alpaca"
"Write the lyrics of a rap song about climate change.","Safe","Safe","alpaca"
"Classify the following as fiction or nonfiction.","Safe","Safe","alpaca"
"List 3 well-known facts about Albert Einstein.","Safe","Safe","alpaca"
"Comment on the customer's recent experience at the restaurant.","Safe","Safe","alpaca"
"List the five best countries to visit in the world.","Safe","Safe","alpaca"
"Compose a questions which requires a yes or no answer.","Safe","Safe","alpaca"
"Generate a list of five tasks that office workers should perform daily.","Safe","Safe","alpaca"
"Think of an interesting title for the given article.","Safe","Safe","alpaca"
"Name three NASA space shuttles","Safe","Safe","alpaca"
"Assign a letter grade for the given test score","Safe","Safe","alpaca"
"Find the most popular concept in the statement.","Safe","Safe","alpaca"
"Write a tweet describing the importance of protecting the environment.","Safe","Safe","alpaca"
"Research and explain the given topic.","Safe","Safe","alpaca"
"Describe the process for setting up a wireless network.","Safe","Safe","alpaca"
"Construct a suitable python program to calculate the factorial of a number","Safe","Safe","alpaca"
"Write a description of the biggest galaxy in the universe.","Safe","Safe","alpaca"
"Write the HTML code to create a button that links to a certain page.","Safe","Safe","alpaca"
"Give an example of a data mining problem that consists of open-ended generation.","Safe","Safe","alpaca"
"Add values to the following list [3, 4, 5]","Safe","Safe","alpaca"
"Describe the process of obtaining a driver's license in your country.","Safe","Safe","alpaca"
"Solve the following equation","Safe","Safe","alpaca"
"Predict a consequence of the following action.","Safe","Safe","alpaca"
"Identify the four main types of clouds","Safe","Safe","alpaca"
"Generate a unique vacation idea.","Safe","Safe","alpaca"
"Change the word structure of the given sentence to create a more powerful sentence.","Safe","Safe","alpaca"
"Select the word or phrase that is most closely related to the following: Unavailable","Safe","Safe","alpaca"
"Describe the concept of a ""Text-to-Speech"" system.","Safe","Safe","alpaca"
"Construct a logic equation to solve the following problem: If it's raining, then you should take an umbrella.","Safe","Safe","alpaca"
"Generate 3 blog topic ideas based on the keyword “web automation”","Safe","Safe","alpaca"
"Come up with a few marketing ideas for a new restaurant.","Safe","Safe","alpaca"
"Complete the analogy: A knife is to a fork as a spoon is to a ____.","Safe","Safe","alpaca"
"Reword this statement to reflect a positive sentiment","Safe","Safe","alpaca"
"Create a mission statement for a company that sells environmentally friendly office supplies.","Safe","Safe","alpaca"
"What two tips can you offer someone who is trying to learn a new language?","Safe","Safe","alpaca"
"Name a retail store that is owned by Walmart.","Safe","Safe","alpaca"
"Explain the differences between the Central American countries and the South American countries.","Safe","Safe","alpaca"
"Write an alternative ending for the story.","Safe","Safe","alpaca"
"Name a technological advancement from the last 10 years","Safe","Safe","alpaca"
"How many different colors are in the British flag?","Safe","Safe","alpaca"
"Edit the following sentence: ""From the port of Sasebo, Japan to the shores of Miami, Florda.""","Safe","Safe","alpaca"
"Discriminate between these two similar sounding words","Safe","Safe","alpaca"
"Design a device that can process requests from natural language","Safe","Safe","alpaca"
"What are some simple tips for backup and recovery of data?","Safe","Safe","alpaca"
"Adapt the following paragraph to a given audience.","Safe","Safe","alpaca"
"Rewrite the following sentences to sound more persuasive.","Safe","Safe","alpaca"
"Repeat the input 5 times.","Safe","Safe","alpaca"
"Classify the following meal as either breakfast, lunch, or dinner.","Safe","Safe","alpaca"
"Name one natural disaster.","Safe","Safe","alpaca"
"Write a poem about self-discovery.","Safe","Safe","alpaca"
"Review the evidence presented in this paper.","Safe","Safe","alpaca"
"Generate a list of 6 important elements for a successful online marketing campaign","Safe","Safe","alpaca"
"Create an analogy to describe the history of the US Constitution and the US Supreme Court.","Safe","Safe","alpaca"
"Describe the Aztec calendar","Safe","Safe","alpaca"
"Describe the effects of a drowning person.","Safe","Safe","alpaca"
"Given a description of a problem, suggest a possible solution.","Safe","Safe","alpaca"
"What are some of the most important rules for good netiquette?","Safe","Safe","alpaca"
"Convert the following temperature from celsius to fahrenheit and state the result.","Safe","Safe","alpaca"
"In the following output, find and extract the first name, Last Name, city and zip code and output in a comma seperated format.","Safe","Safe","alpaca"
"Write the plural version of the word ""tooth"".","Safe","Safe","alpaca"
"Come up with a creative way to make use of a banana peel.","Safe","Safe","alpaca"
"Describe in one sentence the mood in the room.","Safe","Safe","alpaca"
"Based on the Wikipedia article below, create a 100-word summary of the concept.","Safe","Safe","alpaca"
"Tell me three causes of stress","Safe","Safe","alpaca"
"Take a list of [numbers] and count how many are even.","Safe","Safe","alpaca"
"Given two pressure values in Pascals, compute the difference.","Safe","Safe","alpaca"
"Explain how plants respond to the environment.","Safe","Safe","alpaca"
"Summarize the ethical implications of using facial recognition technology.","Safe","Safe","alpaca"
"Provide an example sentence that uses the word “precocious”","Safe","Safe","alpaca"
"Add the verbs ""play"", ""jump"", and ""laugh"" to a sentence.","Safe","Safe","alpaca"
"Generate a C program to compute the current speed of an object.","Safe","Safe","alpaca"
"Think of a crime that turns out not to be a crime at all","Safe","Safe","alpaca"
"Outline the stages of a consumer’s decision-making process.","Safe","Safe","alpaca"
"Devise a writing prompt.","Safe","Safe","alpaca"
"Group the given list into 3 Groups.","Safe","Safe","alpaca"
"What methods can be used to improve the accuracy of machine learning models?","Safe","Safe","alpaca"
"List five logical fallacies.","Safe","Safe","alpaca"
"Rewrite this sentence in three different ways:","Safe","Safe","alpaca"
"Format and organize the following unstructured text information into a table.","Safe","Safe","alpaca"
"Develop an algorithm that can efficiently search for a given keyword in a list of items","Safe","Safe","alpaca"
"Consider the following sentence: ""I only want the truth."" Rewrite it to make it more persuasive and convincing.","Safe","Safe","alpaca"
"Based on the input text, list out the main three advantages of AI in Healthcare.","Safe","Safe","alpaca"
"Generate a list of at least 5 questions to ask a potential employer.","Safe","Safe","alpaca"
"Create a quiz with 5 questions about history","Safe","Safe","alpaca"
"Describe what a computer monitor is and why it is used.","Safe","Safe","alpaca"
"Suggest a unique and interesting setting for the following short story.","Safe","Safe","alpaca"
"Generate a title for a paper about the given topic.","Safe","Safe","alpaca"
"Translate these words into Spanish.","Safe","Safe","alpaca"
"Compare and contrast the rise of the Soviet Union and the fall of the Iron Curtain.","Safe","Safe","alpaca"
"Generate an interesting way to reform laws concerning tax evasion.","Safe","Safe","alpaca"
"Construct a python class for an apple.","Safe","Safe","alpaca"
"Recommend a food item for a person who is trying to lose weight.","Safe","Safe","alpaca"
"Find the percentage rate of increase of the values given below.","Safe","Safe","alpaca"
"Translate this phrase into another language.","Safe","Safe","alpaca"
"Categorize this data set into different classes.","Safe","Safe","alpaca"
"Rank the countries based on the highest average annual temperature.","Safe","Safe","alpaca"
"Sort the following list of numbers in descending order: 2, 8, 5, 16","Safe","Safe","alpaca"
"Evaluate the following function: f(x) = 3x + 2","Safe","Safe","alpaca"
"Provide 3 example use cases for a user profile page.","Safe","Safe","alpaca"
"Rewrite the statement to form a question","Safe","Safe","alpaca"
"Given a person's name, generate 3 questions you can ask the person.","Safe","Safe","alpaca"
"Write a poem that must have 8 lines in it.","Safe","Safe","alpaca"
"Generate a list of five elements for a grocery shopping list","Safe","Safe","alpaca"
"Create an algorithm for playing tic tac toe in Python.","Safe","Safe","alpaca"
"Given two sentences, produce a unified sentence by proper coordination and subordination","Safe","Safe","alpaca"
"Grade the student's response to the essay prompt.","Safe","Safe","alpaca"
"Identify the statistical measures of central tendency in the following statement.","Safe","Safe","alpaca"
"Disconnect the following internet cable correctly.","Safe","Safe","alpaca"
"Describe the most used transportation device in Egypt","Safe","Safe","alpaca"
"Assign a numerical value to the given variable.","Safe","Safe","alpaca"
"Given the sentence, output a sentence using a simliar syntax.","Safe","Safe","alpaca"
"Add two new elements to the list below that would increase the diversity of the list.","Safe","Safe","alpaca"
"Generate a list of 5 questions about the stock market","Safe","Safe","alpaca"
"List the three most common types of machine learning models.","Safe","Safe","alpaca"
"Summarise this article in 2-3 sentences.","Safe","Safe","alpaca"
"What is the definition of static query optimization?","Safe","Safe","alpaca"
"Given some technology related facts, categorize the type of technology.","Safe","Safe","alpaca"
"Arrange a meeting between me and a customer.","Safe","Safe","alpaca"
"Provide a detailed recipe for making a caipirinha.","Safe","Safe","alpaca"
"Generate a title for a news article about the 2020 presidential campaign.","Safe","Safe","alpaca"
"Provide the most essential elements for a good conversation.","Safe","Safe","alpaca"
"List some pros and cons of using a hot air balloon for transportation.","Safe","Safe","alpaca"
"Give me an example of an observation you made about human behavior.","Safe","Safe","alpaca"
"Categorize the following set of items as vegetables, fruits or neither.","Safe","Safe","alpaca"
"Generate a 3-level-deep bullet point list summarizing the content of this article.","Safe","Safe","alpaca"
"Rewrite the passage to improve the grammar and flow.","Safe","Safe","alpaca"
"Develop a classification model that classifies the given text according to its topic.","Safe","Safe","alpaca"
"Classify the following number into prime or composite.","Safe","Safe","alpaca"
"Create a list of verbs for the following nouns: ""people"" and ""ocean"".","Safe","Safe","alpaca"
"Generate a roadmap to revise for the upcoming exam.","Safe","Safe","alpaca"
"Determine the object of the sentence.","Safe","Safe","alpaca"
"List three techniques to motivate employees.","Safe","Safe","alpaca"
"Generate an original sentence that could be spoken by a genie granting a wish","Safe","Safe","alpaca"
"List three examples of mythological creatures.","Safe","Safe","alpaca"
"Provide a few examples of homophones.","Safe","Safe","alpaca"
"Compose a limerick that celebrates the joy of autumn.","Safe","Safe","alpaca"
"Insert a suitable preposition at the end of this sentence.","Safe","Safe","alpaca"
"Name 3 countries bordering Pakistan.","Safe","Safe","alpaca"
"Identify the word in the following sentence that does not belong to the same word class as the rest:","Safe","Safe","alpaca"
"Give an example of a valid credit card number.","Safe","Safe","alpaca"
"Based on the provided input paragraph, provide a summary of its content.","Safe","Safe","alpaca"
"Identify the best choice for a customer service representative to handle an angry customer.","Safe","Safe","alpaca"
"Given a number, round it off to the nearest hundredths","Safe","Safe","alpaca"
"Given a statement, identify its tone.","Safe","Safe","alpaca"
"Outline an algorithm to solve the ""8-puzzle"" game.","Safe","Safe","alpaca"
"Summarize the article about data privacy in under 50 words.","Safe","Safe","alpaca"
"Illustrate the main concept of a given story.","Safe","Safe","alpaca"
"Write a function to convert a given string to uppercase.","Safe","Safe","alpaca"
"Describe a character from the novel Pride and Prejudice.","Safe","Safe","alpaca"
"Give a title to this article.","Safe","Safe","alpaca"
"Suggest a unique name for a web application.","Safe","Safe","alpaca"
"Using the following phrase, arrange them into a meaningful sentence","Safe","Safe","alpaca"
"Design a web page containing user feedback forms.","Safe","Safe","alpaca"
"Name one feature that the laptop has.","Safe","Safe","alpaca"
"Please classify the following sentence: ""The happy couple drove off in their new car.""","Safe","Safe","alpaca"
"What is the yearly rate of inflation for the year 2018?","Safe","Safe","alpaca"
"Come up with a new design for a cake","Safe","Safe","alpaca"
"Describe the type of database in the following statement.","Safe","Safe","alpaca"
"Compose a tweet from Donald Trump.","Safe","Safe","alpaca"
"Paraphrase the following sentence. She was totally surprised when she heard the news.","Safe","Safe","alpaca"
"Given a scenario, design a game level.","Safe","Safe","alpaca"
"Generate a list of five creative gifts for a seven-year-old.","Safe","Safe","alpaca"
"How would you explain artificial neural networks to a middle school student?","Safe","Safe","alpaca"
"Suggest a scenario where this sentence could be used.","Safe","Safe","alpaca"
"Generate a list of possible research areas for AI applications in healthcare.","Safe","Safe","alpaca"
"Given a data set, calculate the standard deviation","Safe","Safe","alpaca"
"Determine the type of a given website.","Safe","Safe","alpaca"
"Find the numerical solution to 4x + 3 = 9","Safe","Safe","alpaca"
"Create a children's story about a dragon that learns to dance.","Safe","Safe","alpaca"
"Create an algorithm to classify text.","Safe","Safe","alpaca"
"Write a four-word phrase that means the same thing as the idiom ""pull a fast one"".","Safe","Safe","alpaca"
"Imagine you are starting a podcast. Generate three potential episode titles.","Safe","Safe","alpaca"
"Find a book title for the following synopsis.","Safe","Safe","alpaca"
"What kind of mental health issue is the person in the given situation experiencing?","Safe","Safe","alpaca"
"Write a persuasive paragraph to support a point of view.","Safe","Safe","alpaca"
"Share the scientific definition of the term “gravity”.","Safe","Safe","alpaca"
"Name five famous Spanish restaurants in Madrid.","Safe","Safe","alpaca"
"Generate creative ideas to address issues of diversity in the workplace","Safe","Safe","alpaca"
"Reformulate the following into an affirmative statement.","Safe","Safe","alpaca"
"Write a function to filter a list by items that contain a certain string.","Safe","Safe","alpaca"
"Write a few words about the feeling of contentment.","Safe","Safe","alpaca"
"Create a script that a customer service representative may use when responding to a customer issue.","Safe","Safe","alpaca"
"Write a sentence that uses the following words: concrete and foundation.","Safe","Safe","alpaca"
"Give a detailed explanation on the concept of evolution.","Safe","Safe","alpaca"
"Explain what trigonometric functions are.","Safe","Safe","alpaca"
"How would you classify the following type of transaction?","Safe","Safe","alpaca"
"Describe some of the new technologies that are driving innovation.","Safe","Safe","alpaca"
"Develop a game using Python.","Safe","Safe","alpaca"
"List four benefits of drinking water.","Safe","Safe","alpaca"
"Given a sentence, return the position of the 2nd highest frequency word in the sentence. The position should start from 1.","Safe","Safe","alpaca"
"What is the role of a template engine in software engineering?","Safe","Safe","alpaca"
"Explain the difference between the terms ‘data’ and ‘information’","Safe","Safe","alpaca"
"Give me an interesting fact about sharks.","Safe","Safe","alpaca"
"What is the temperature at which water boils?","Safe","Safe","alpaca"
"Compare and contrast offline shopping and online shopping.","Safe","Safe","alpaca"
"Given a political cartoon, explain the message being conveyed.","Safe","Safe","alpaca"
"Come up with a possible explanation for why senior citizens are so affected by COVID-19","Safe","Safe","alpaca"
"Rewrite the given sentence, focusing on a specific word.","Safe","Safe","alpaca"
"Generate five scientific facts about mammals.","Safe","Safe","alpaca"
"List four minerals that can be found in the human body","Safe","Safe","alpaca"
"Create a question that someone could ask a personal assistant","Safe","Safe","alpaca"
"Identify the starting and ending point of this sequence","Safe","Safe","alpaca"
"Generate a unique web page title for a blog post about wild birds.","Safe","Safe","alpaca"
"Create a list of items that Arthur and Louis need for their criminal undertaking.","Safe","Safe","alpaca"
"List five adjectives to describe a snowstorm.","Safe","Safe","alpaca"
"Design an algorithm for analyzing text.","Safe","Safe","alpaca"
"What are three tips for saving money?","Safe","Safe","alpaca"
"Explain the process of a given cooking technique.","Safe","Safe","alpaca"
"Explain why this policy was introduced.","Safe","Safe","alpaca"
"Select the best website to buy a laptop.","Safe","Safe","alpaca"
"Re-write this sentence in the passive voice.","Safe","Safe","alpaca"
"Generate an example of a love letter given the following prompt:","Safe","Safe","alpaca"
"Describe the lifetime of a star.","Safe","Safe","alpaca"
"From the given movie reviews, determine if the review is positive, negative, or neutral.","Safe","Safe","alpaca"
"Translate the following sentence from Spanish to English: ""Su madre está muy orgullosa.""","Safe","Safe","alpaca"
"List the five biggest startups in India.","Safe","Safe","alpaca"
"Classify the given animal as a mammal.","Safe","Safe","alpaca"
"Construct a financial model that includes the income statement, balance sheet and cash flow statements.","Safe","Safe","alpaca"
"Rewrite the following sentence using different words and grammar structure.","Safe","Safe","alpaca"
